IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Good_Bad,Zip_key,Zip_lon,Zip_lat,Share_Camp,Share_Other,Share_PL,Share_prog,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc
652242,10003.00,New Castle County,Delaware,3.00,5.00,19701 Bear,Good,19701,-75.70,39.58,0.513721195,0.037452991,0.098546238,0.350279576,0.29,0.17,0.05,0.79,0.16,2.82,0.29,0.05,65020.00,25566.00
652243,51107.00,Loudoun County,Virginia,3.00,5.00,20147 Ashburn,Good,20147,-77.48,39.04,0.404441328,0.064374082,0.07337377,0.457810819,0.34,0.23,0.03,0.83,0.07,2.89,0.55,0.03,88133.00,35714.00
652282,26163.00,Wayne County,Michigan,2.00,3.00,48235 Detroit,Bad,48235,-83.19,42.43,0.586336562,0.03981343,0.152627318,0.221222689,0.27,0.15,0.12,0.02,0.96,2.67,0.17,0.25,40041.00,18936.00
652317,48113.00,Dallas County,Texas,3.00,7.00,75081 Richardson,Bad,75081,-96.71,32.95,0.544352782,0.068988597,0.250341663,0.136316959,0.25,0.13,0.08,0.71,0.08,2.62,0.36,0.10,60597.00,27136.00
652626,42061.00,Huntingdon County,Pennsylvania,1.00,2.00,16652 Huntingdon,Bad,16652,-77.92,40.56,0.599098331,0.019835461,0.242421802,0.138644406,0.17,0.09,0.14,0.86,0.11,2.32,0.17,0.26,35118.00,14807.00
652646,6073.00,San Diego County,California,4.00,9.00,92025 Escondido,Bad,92025,-117.03,33.08,0.510907117,0.085424293,0.248940583,0.154728007,0.31,0.19,0.09,0.63,0.02,3.25,0.19,0.22,38828.00,16332.00
652727,1097.00,Mobile County,Alabama,3.00,6.00,36693 Mobile,Bad,36693,-88.15,30.63,0.660587183,0.019759297,0.244984901,0.074668619,0.23,0.12,0.19,0.82,0.15,2.47,0.29,0.17,47106.00,24311.00
652877,19125.00,Marion County,Iowa,2.00,4.00,50219 Pella,Bad,50219,-92.90,41.42,0.500470056,0.051926084,0.370363742,0.077240118,0.24,0.13,0.16,0.97,0.00,2.54,0.30,0.16,47177.00,19900.00
652886,48113.00,Dallas County,Texas,3.00,7.00,75206 Dallas,Bad,75206,-96.77,32.83,0.46610047,0.141671272,0.097576017,0.294652241,0.15,0.10,0.06,0.70,0.05,1.94,0.45,0.20,41475.00,27761.00
652906,4019.00,Pima County,Arizona,4.00,8.00,85750 Tucson,Good,85750,-110.84,32.30,0.465268921,0.161154387,0.062711887,0.310864805,0.21,0.10,0.17,0.91,0.01,2.27,0.51,0.08,66411.00,39901.00
652916,53061.00,Snohomish County,Washington,4.00,9.00,98292 Stanwood,Bad,98292,-122.31,48.22,0.438880987,0.068489165,0.263709631,0.228920217,0.26,0.13,0.15,0.95,0.00,2.63,0.19,0.13,54889.00,24289.00
652923,29047.00,Clay County,Missouri,2.00,4.00,64068 Liberty,Bad,64068,-94.39,39.26,0.655951424,0.043261839,0.253850481,0.046936256,0.27,0.14,0.10,0.94,0.02,2.62,0.27,0.13,53710.00,24141.00
652936,48201.00,Harris County,Texas,3.00,7.00,77339 Kingwood,Bad,77339,-95.22,30.05,0.527769238,0.08193212,0.252116803,0.138181839,0.28,0.14,0.08,0.92,0.02,2.71,0.36,0.08,69242.00,31115.00
653051,9003.00,Hartford County,Connecticut,1.00,1.00,06040 Manchester,Good,6040,-72.52,41.76,0.299262555,0.12629609,0.096811046,0.477630309,0.23,0.13,0.14,0.83,0.08,2.31,0.27,0.16,49414.00,25989.00
653057,17019.00,Champaign County,Illinois,2.00,3.00,61822 Champaign,Bad,61822,-88.31,40.13,0.534882458,0.079272872,0.140708309,0.245136361,0.27,0.15,0.09,0.82,0.09,2.55,0.46,0.08,60349.00,31700.00
653104,6037.00,Los Angeles County,California,4.00,9.00,90025 Los Angeles,Bad,90025,-118.45,34.05,0.298126299,0.340697246,0.095211894,0.26596456,0.11,0.07,0.12,0.66,0.03,1.90,0.53,0.21,47806.00,35178.00
653133,40143.00,Tulsa County,Oklahoma,3.00,7.00,74133 Tulsa,Bad,74133,-95.88,36.04,0.651651451,0.038035402,0.071844724,0.238468423,0.25,0.14,0.10,0.84,0.05,2.37,0.37,0.15,50379.00,26657.00
653316,48201.00,Harris County,Texas,3.00,7.00,77063 Houston,Bad,77063,-95.52,29.74,0.669903767,0.137321422,0.024499952,0.16827486,0.14,0.10,0.10,0.69,0.12,1.85,0.46,0.20,42458.00,33952.00
653366,47179.00,Washington County,Tennessee,3.00,6.00,37604 Johnson City,Bad,37604,-82.38,36.30,0.598532557,0.041939861,0.24911366,0.110413923,0.20,0.11,0.16,0.91,0.06,2.21,0.28,0.33,30951.00,20416.00
653369,13067.00,Cobb County,Georgia,3.00,5.00,30064 Marietta,Bad,30064,-84.62,33.94,0.570908049,0.077272278,0.175017561,0.176802112,0.28,0.15,0.09,0.80,0.15,2.74,0.40,0.10,67586.00,30115.00
653426,1039.00,Covington County,Alabama,3.00,6.00,36467 Opp,Bad,36467,-86.26,31.25,0.664656113,0.018538542,0.255745773,0.061059572,0.23,0.12,0.19,0.87,0.12,2.35,0.12,0.35,27152.00,15663.00
653478,37001.00,Alamance County,North Carolina,3.00,5.00,27215 Burlington,Bad,27215,-79.49,36.03,0.698202611,0.038365652,0.12596533,0.137466407,0.22,0.12,0.18,0.83,0.11,2.30,0.26,0.20,41858.00,23747.00
653480,37081.00,Guilford County,North Carolina,3.00,5.00,27410 Greensboro,Bad,27410,-79.89,36.12,0.56094362,0.06075926,0.137441134,0.240855986,0.22,0.12,0.14,0.86,0.09,2.27,0.50,0.10,60353.00,33159.00
653776,55035.00,Eau Claire County,Wisconsin,2.00,3.00,54703 Eau Claire,Bad,54703,-91.52,44.84,0.693229477,0.039515819,0.16889848,0.098356224,0.24,0.13,0.10,0.93,0.01,2.52,0.22,0.20,38068.00,17407.00
653842,48201.00,Harris County,Texas,3.00,7.00,77536 Deer Park,Bad,77536,-95.12,29.70,0.807371119,0.063485223,0.030456711,0.098686947,0.29,0.14,0.07,0.90,0.01,2.93,0.15,0.10,61082.00,24389.00
653843,48201.00,Harris County,Texas,3.00,7.00,77014 Houston,Bad,77014,-95.46,29.98,0.755074249,0.079981694,0.026727307,0.138216751,0.30,0.18,0.02,0.39,0.36,2.65,0.22,0.16,40040.00,18081.00
653844,49057.00,Weber County,Utah,4.00,8.00,84403 Ogden,Bad,84403,-111.92,41.18,0.642356557,0.032978493,0.085996245,0.238668705,0.27,0.16,0.13,0.86,0.01,2.80,0.26,0.18,43067.00,21900.00
653899,6071.00,San Bernardino County,California,4.00,9.00,92395 Victorville,Bad,92395,-117.29,34.50,0.568562792,0.053969195,0.226236535,0.151231478,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50289.80,24639.00
653956,45041.00,Florence County,South Carolina,3.00,5.00,29501 Florence,Bad,29501,-79.82,34.21,0.695036094,0.017106067,0.182238233,0.105619605,0.24,0.13,0.13,0.71,0.27,2.40,0.27,0.24,39809.00,23676.00
654104,53033.00,King County,Washington,4.00,9.00,98125 Seattle,Bad,98125,-122.30,47.72,0.401399795,0.222672715,0.128602042,0.247325448,0.17,0.10,0.15,0.71,0.05,2.17,0.43,0.21,42400.00,25771.00
654142,24031.00,Montgomery County,Maryland,3.00,5.00,20874 Germantown,Bad,20874,-77.29,39.14,0.469820332,0.105718242,0.165679605,0.258781822,0.29,0.18,0.03,0.66,0.17,2.64,0.44,0.06,65104.00,29387.00
654145,20091.00,Johnson County,Kansas,2.00,4.00,66062 Olathe,Bad,66062,-94.78,38.83,0.620074868,0.04064284,0.256837743,0.082444548,0.32,0.19,0.04,0.91,0.03,2.93,0.43,0.06,68682.00,25910.00
654213,18097.00,Marion County,Indiana,2.00,3.00,46229 Indianapolis,Bad,46229,-85.98,39.79,0.70102889,0.033081102,0.130324347,0.13556566,0.29,0.17,0.09,0.75,0.20,2.57,0.18,0.14,44923.00,20918.00
654275,45043.00,Georgetown County,South Carolina,3.00,5.00,29440 Georgetown,Bad,29440,-79.33,33.39,0.617610611,0.027053152,0.149961447,0.20537479,0.28,0.15,0.13,0.47,0.50,2.71,0.15,0.31,32090.00,16714.00
654336,6073.00,San Diego County,California,4.00,9.00,92029 Escondido,Bad,92029,-117.13,33.08,0.515852892,0.112507399,0.132090171,0.239549538,0.25,0.14,0.12,0.82,0.02,2.71,0.33,0.12,63581.00,30009.00
654361,49035.00,Salt Lake County,Utah,4.00,8.00,84088 West Jordan,Bad,84088,-111.96,40.60,0.68694948,0.085064564,0.150388489,0.077597468,0.39,0.23,0.03,0.89,0.01,3.64,0.18,0.07,56557.00,17444.00
654449,48201.00,Harris County,Texas,3.00,7.00,77521 Baytown,Bad,77521,-94.96,29.80,0.826537161,0.071406431,0.018125717,0.083930692,0.29,0.17,0.08,0.68,0.18,2.75,0.15,0.19,46864.00,19796.00
654486,34015.00,Gloucester County,New Jersey,1.00,2.00,08096 Woodbury,Good,8096,-75.13,39.83,0.464723784,0.054151905,0.047446519,0.433677792,0.24,0.13,0.16,0.85,0.11,2.57,0.19,0.19,49702.00,22259.00
654583,37035.00,Catawba County,North Carolina,3.00,5.00,28601 Hickory,Bad,28601,-81.32,35.77,0.691202482,0.01785993,0.22255504,0.068382548,0.23,0.13,0.13,0.88,0.05,2.41,0.23,0.20,42046.00,23900.00
654746,48121.00,Denton County,Texas,3.00,7.00,75077 Lewisville,Bad,75077,-97.07,33.08,0.612653751,0.062723741,0.19250203,0.132120477,0.31,0.17,0.04,0.89,0.04,3.01,0.42,0.03,86988.00,34747.00
654767,45037.00,Edgefield County,South Carolina,3.00,5.00,29860 North Augusta,Bad,29860,-81.98,33.61,0.693734986,0.013772554,0.216715973,0.075776488,0.29,0.16,0.08,0.82,0.16,2.88,0.22,0.18,52720.00,21161.00
654982,13067.00,Cobb County,Georgia,3.00,5.00,30064 Marietta,Good,30064,-84.62,33.94,0.632919444,0.03349481,0.030649819,0.302935927,0.28,0.15,0.09,0.80,0.15,2.74,0.40,0.10,67586.00,30115.00
655063,37183.00,Wake County,North Carolina,3.00,5.00,27519 Cary,Bad,27519,-78.88,35.81,0.566074607,0.062196546,0.093337949,0.278390898,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50040.72,24496.63
655064,37035.00,Catawba County,North Carolina,3.00,5.00,28601 Hickory,Bad,28601,-81.32,35.77,0.71091151,0.0551524,0.124762255,0.109173835,0.23,0.13,0.13,0.88,0.05,2.41,0.23,0.20,42046.00,23900.00
655563,42029.00,Chester County,Pennsylvania,1.00,2.00,19312 Berwyn,Good,19312,-75.45,40.03,0.428719236,0.074474073,0.063954338,0.432852353,0.25,0.14,0.16,0.93,0.03,2.62,0.55,0.08,94085.00,50492.00
655607,26115.00,Monroe County,Michigan,2.00,3.00,48162 Monroe,Bad,48162,-83.43,41.96,0.631417234,0.047649214,0.19287182,0.128061733,0.26,0.13,0.14,0.95,0.02,2.53,0.16,0.18,47317.00,22146.00
655638,18097.00,Marion County,Indiana,2.00,3.00,46237 Indianapolis,Bad,46237,-86.08,39.67,0.705169645,0.033263224,0.111050336,0.150516795,0.28,0.16,0.07,0.96,0.01,2.62,0.22,0.10,54171.00,23909.00
655724,45007.00,Anderson County,South Carolina,3.00,5.00,29627 Belton,Bad,29627,-82.48,34.52,0.661752775,0.011511374,0.26837168,0.058364171,0.24,0.14,0.14,0.83,0.15,2.51,0.12,0.28,34200.00,17362.00
655950,53033.00,King County,Washington,4.00,9.00,98125 Seattle,Good,98125,-122.30,47.72,0.403975413,0.251531377,0.043806045,0.300687165,0.17,0.10,0.15,0.71,0.05,2.17,0.43,0.21,42400.00,25771.00
656082,42095.00,Northampton County,Pennsylvania,1.00,2.00,18088 Walnutport,Good,18088,-75.56,40.77,0.550770615,0.01928646,0.109335543,0.320607383,0.21,0.11,0.16,0.99,0.00,2.52,0.09,0.19,42026.00,20340.00
656089,4013.00,Maricopa County,Arizona,4.00,8.00,85308 Glendale,Bad,85308,-112.18,33.66,0.523039861,0.070025272,0.118630042,0.288304825,0.28,0.16,0.06,0.89,0.02,2.82,0.27,0.08,63644.00,26079.00
656422,24005.00,Baltimore County,Maryland,3.00,5.00,21234 Parkville,Good,21234,-76.54,39.39,0.511868353,0.033177526,0.085585047,0.369369074,0.23,0.12,0.18,0.78,0.17,2.34,0.22,0.17,44554.00,22263.00
656426,6037.00,Los Angeles County,California,4.00,9.00,91355 Valencia,Bad,91355,-118.60,34.42,0.497590115,0.192792964,0.094978041,0.214638881,0.26,0.14,0.10,0.86,0.01,2.53,0.34,0.09,76024.00,34028.00
